detail_id,order_id,item_id,qty
1,1,30,1
2,2,29,4
3,2,20,3
4,2,21,2
5,2,26,3
6,2,18,4
7,3,30,4
8,3,22,3
9,3,20,4
10,4,21,1
11,5,20,2
12,5,18,2
13,5,16,4
14,6,16,4
15,6,22,4
16,6,28,3
17,6,29,2
18,6,20,3
19,7,19,2
20,7,16,3
21,7,19,4
22,7,20,1
23,7,22,4
24,7,28,1
25,8,27,3
26,8,22,3
27,9,28,1
28,9,17,1
29,9,17,3
30,9,30,3
31,9,27,4
32,9,16,2
33,10,28,3
34,10,12,2
35,10,19,1
36,10,3,2
37,10,8,2
38,11,24,2
39,11,10,2
40,11,30,1
41,11,4,2
42,11,29,4
43,12,28,3
44,12,12,2
45,12,12,2
46,12,5,2
47,12,24,3
48,12,30,3
49,13,6,2
50,13,10,2
51,14,24,1
52,15,15,2
53,15,21,1
54,15,6,2
55,15,5,2
56,15,22,3
57,16,5,2
58,16,19,4
59,16,8,2
60,16,16,2
61,16,27,4
62,17,25,2
63,18,16,3
64,18,17,1
65,18,13,2
66,18,23,1
67,18,24,2
68,19,28,4
69,19,20,2
70,19,15,2
71,19,21,3
72,20,3,2
73,20,27,3
74,20,7,1
75,20,13,2
76,20,19,3
77,21,15,1
78,21,9,1
79,21,18,2
80,22,27,3
81,22,13,2
82,22,22,2
83,22,8,2
84,22,11,1
85,23,22,2
86,23,22,4
87,23,2,2
88,23,13,1
89,23,26,4
90,24,22,2
91,24,2,2
92,24,18,3
93,24,19,3
94,25,21,1
95,25,3,1
96,25,10,1
97,26,23,3
98,26,28,3
99,26,29,3
100,26,28,2
101,26,18,2
102,27,18,3
103,27,12,1
104,27,21,1
105,27,11,1
106,27,18,1
107,28,21,3
108,28,3,2
109,28,19,3
110,28,23,4
111,28,20,4
112,29,3,2
113,29,12,1
114,30,10,2
115,30,8,2
116,30,28,1
117,30,29,1
118,30,26,1
119,31,3,1
120,31,8,2
121,31,10,1
122,32,6,2
123,32,26,3
124,32,13,1
125,32,24,3
126,32,22,1
127,32,5,1
128,33,30,2
129,33,30,4
130,34,2,2
131,34,6,1
132,34,30,4
133,34,8,2
134,34,2,1
135,35,18,4
136,35,20,1
137,35,15,2
138,35,5,2
139,36,28,1
140,36,5,1
141,36,27,1
142,37,15,2
143,37,4,1
144,37,1,1
145,38,25,2
146,39,16,2
147,39,22,1
148,39,26,3
149,40,14,1
150,40,13,2
151,40,27,1
152,41,4,2
153,41,17,2
154,41,17,2
155,42,1,1
156,42,23,1
157,42,13,2
158,42,16,3
159,42,28,4
160,43,9,2
161,43,16,4
162,43,9,1
163,43,3,2
164,44,27,4
165,44,23,3
166,45,26,4
167,45,11,1
168,45,21,2
169,45,20,1
170,45,17,2
171,45,1,1
172,46,8,2
173,46,28,1
174,46,22,3
175,46,14,1
176,46,24,2
177,46,26,3
178,47,21,3
179,47,23,2
180,47,27,4
181,47,18,1
182,47,7,2
183,47,22,2
184,48,19,3
185,48,4,1
186,48,13,1
187,49,4,1
188,50,23,4
189,50,24,3
190,51,4,2
191,52,28,1
192,52,13,1
193,52,18,2
194,53,18,3
195,53,4,2
196,53,9,2
197,53,30,1
198,53,27,1
199,54,18,3
200,55,22,4
201,55,30,2
202,55,28,2
203,55,19,1
204,56,25,2
205,56,16,3
206,56,9,1
207,56,22,1
208,56,11,1
209,56,27,4
210,57,16,4
211,57,16,3
212,57,22,4
213,57,9,2
214,57,29,4
215,58,22,2
216,58,11,1
217,58,2,2
218,58,12,1
219,58,12,1
220,58,12,2
221,59,16,4
222,59,2,1
223,59,16,3
224,59,10,1
225,59,2,2
226,60,30,2
227,60,12,1
228,60,22,4
229,60,30,2
230,60,19,4
231,60,16,4
232,61,12,2
233,61,5,2
234,61,16,2
235,61,7,2
236,61,12,2
237,62,22,2
238,62,6,2
239,62,29,1
240,62,12,1
241,63,30,3
242,63,16,3
243,63,10,2
244,63,21,4
245,63,12,1
246,63,12,2
247,64,22,2
248,65,3,2
249,66,24,4
250,67,21,2
251,67,8,1
252,67,23,2
253,68,25,1
254,68,12,2
255,68,22,2
256,68,16,2
257,68,13,2
258,68,26,3
259,69,12,2
260,70,16,4
261,70,16,4
262,70,10,2
263,70,21,2
264,70,16,3
265,70,20,3
266,71,16,4
267,71,16,2
268,71,23,2
269,71,4,1
270,71,16,4
271,72,10,1
272,72,27,2
273,72,5,1
274,72,11,1
275,73,27,1
276,73,1,2
277,73,19,4
278,73,17,3
279,73,6,1
280,74,20,4
281,74,13,2
282,75,20,2
283,75,8,2
284,75,10,1
285,76,27,4
286,76,22,2
287,77,17,2
288,77,14,2
289,78,17,3
290,78,12,2
291,78,11,2
292,78,20,1
293,78,23,3
294,79,25,1
295,79,27,1
296,79,7,2
297,79,2,1
298,79,19,2
299,79,29,1
300,80,18,4
301,80,15,1
302,80,21,4
303,81,24,2
304,82,8,1
305,82,29,4
306,83,25,2
307,84,9,1
308,84,17,1
309,85,18,2
310,85,14,1
311,85,14,2
312,85,6,1
313,85,20,2
314,85,12,2
315,86,12,1
316,86,4,1
317,87,9,2
318,87,21,2
319,87,19,3
320,88,11,2
321,88,6,1
322,88,23,2
323,88,6,2
324,89,10,2
325,89,29,2
326,89,28,4
327,89,23,3
328,90,25,2
329,91,2,1
330,92,12,1
331,92,22,4
332,92,1,1
333,92,18,2
334,92,10,1
335,92,21,1
336,93,9,2
337,93,2,1
338,94,24,3
339,94,29,2
340,94,3,1
341,94,20,4
342,95,29,3
343,96,8,1
344,96,6,2
345,96,23,3
346,96,22,4
347,96,2,1
348,96,22,2
349,97,13,2
350,97,6,1
351,97,4,1
352,97,13,1
353,98,26,2
354,98,27,3
355,98,13,2
356,98,14,2
357,98,11,1
358,98,13,1
359,99,20,1
360,100,19,1
361,100,12,2
362,100,2,2
363,100,22,4
364,101,19,4
365,101,13,1
366,101,11,2
367,102,29,2
368,102,14,2
369,102,8,1
370,103,6,1
371,103,11,2
372,103,9,1
373,104,18,4
374,105,29,1
375,105,1,1
376,106,21,3
377,106,14,2
378,106,20,4
379,106,14,1
380,107,16,4
381,107,10,1
382,107,9,1
383,107,16,1
384,108,14,2
385,108,15,1
386,109,8,2
387,110,17,2
388,110,9,2
389,110,11,1
390,111,30,2
391,111,25,3
392,111,26,3
393,111,2,1
394,111,20,3
395,112,30,4
396,112,27,4
397,112,13,2
398,112,20,3
399,112,17,1
400,113,30,3
401,113,8,2
402,113,17,2
403,113,17,3
404,114,13,1
405,114,18,3
406,115,19,1
407,115,4,1
408,115,12,1
409,115,4,2
410,116,20,2
411,117,19,1
412,117,7,2
413,117,23,2
414,118,28,3
415,118,7,2
416,118,26,4
417,118,16,3
418,118,25,2
419,118,25,2
420,119,1,2
421,119,14,2
422,119,13,2
423,119,25,3
424,120,15,2
425,120,21,3
426,120,29,2
427,120,12,2
428,120,8,2
429,121,27,1
430,121,24,2
431,122,10,1
432,123,20,2
433,123,6,1
434,123,11,2
435,123,14,1
436,123,4,1
437,124,21,2
438,124,30,4
439,124,29,3
440,125,18,4
441,125,1,2
442,125,30,3
443,125,26,1
444,125,21,1
445,126,7,2
446,127,3,2
447,127,13,2
448,127,12,1
449,128,25,3
450,128,26,3
451,128,26,3
452,128,29,3
453,128,9,2
454,128,28,1
455,129,18,3
456,129,30,1
457,129,22,3
458,130,20,1
459,131,1,2
460,131,2,1
461,131,12,2
462,131,30,1
463,132,26,4
464,133,20,4
465,133,3,2
466,133,17,3
467,133,14,2
468,133,17,2
469,133,5,1
470,134,8,1
471,134,9,1
472,134,9,2
473,134,5,1
474,135,23,1
475,136,5,2
476,136,14,1
477,136,4,2
478,136,6,2
479,136,24,2
480,136,19,1
481,137,11,2
