detail_id,order_id,item_id,qty
1,1,9,3
2,1,21,2
3,2,11,3
4,2,12,3
5,3,19,2
6,3,6,3
7,3,25,1
8,4,13,1
9,4,24,2
10,4,1,2
11,4,30,3
12,4,19,1
13,4,17,1
14,5,22,1
15,6,19,2
16,6,4,3
17,6,20,3
18,6,19,2
19,6,10,1
20,6,20,1
21,7,7,2
22,7,29,3
23,8,12,2
24,8,2,3
25,8,8,3
26,8,5,1
27,8,2,1
28,9,19,3
29,10,28,2
30,10,6,3
31,11,14,1
32,11,6,2
33,12,9,3
34,12,13,2
35,12,27,1
36,12,25,1
37,12,1,2
38,13,25,1
39,13,11,1
40,13,19,3
41,14,15,1
42,15,8,3
43,15,16,1
44,15,5,1
45,15,4,3
46,15,7,1
47,16,5,3
48,16,7,2
49,16,17,2
50,16,20,3
51,16,14,1
52,16,19,2
53,17,7,3
54,17,14,1
55,18,28,2
56,19,6,2
57,19,29,2
58,20,24,3
59,21,24,2
60,22,27,2
61,22,29,3
62,22,11,3
63,22,19,2
64,22,12,2
65,23,18,1
66,24,7,3
67,24,28,3
68,24,13,3
69,24,7,2
70,25,29,1
71,25,17,2
72,25,11,2
73,25,17,1
74,25,4,2
75,26,3,1
76,26,18,2
77,26,13,2
78,26,22,2
79,27,3,2
80,27,18,3
81,27,1,1
82,27,6,3
83,27,28,3
84,28,1,2
85,28,3,1
86,28,16,3
87,29,29,3
88,30,12,1
89,30,27,2
90,30,11,3
91,30,12,3
92,30,29,2
93,31,1,1
94,31,21,1
95,31,15,3
96,31,4,1
97,31,12,2
98,31,12,3
99,32,29,1
100,33,13,1
101,33,19,1
102,33,28,1
103,33,23,2
104,33,14,1
105,34,5,2
106,34,24,3
107,34,8,1
108,35,23,2
109,35,30,1
110,35,16,1
111,35,13,3
112,35,18,1
113,36,3,1
114,36,3,2
115,36,12,2
116,37,23,2
117,37,26,1
118,37,4,1
119,37,19,1
120,38,10,3
121,38,1,3
122,38,29,2
123,38,16,2
124,38,24,1
125,38,18,3
126,39,30,3
127,39,11,2
128,39,23,1
129,39,14,2
130,40,9,2
131,40,18,3
132,40,16,2
133,40,11,1
134,40,3,2
135,41,26,3
136,41,24,1
137,41,26,1
138,42,13,3
139,42,21,1
140,42,4,2
141,42,19,2
142,42,4,2
143,42,1,3
144,43,8,2
145,44,30,2
146,44,9,2
147,45,12,1
148,45,23,2
149,45,2,3
150,46,5,1
151,46,8,3
152,46,22,2
153,46,29,1
154,46,11,3
155,47,18,2
156,47,1,1
157,47,2,1
158,47,21,1
159,47,10,1
160,47,16,3
161,48,25,1
162,48,25,3
163,48,1,3
164,48,18,3
165,48,13,2
166,48,9,1
167,49,4,2
168,49,29,2
169,49,26,3
170,49,1,3
171,49,14,1
172,50,9,3
173,50,9,1
174,50,24,2
175,50,14,3
176,51,5,2
177,51,13,3
178,51,29,1
179,52,30,2
180,53,24,2
181,53,15,1
182,53,13,3
183,53,17,2
184,53,20,2
185,53,16,1
186,54,7,3
187,55,13,1
188,55,1,1
189,55,13,2
190,56,25,3
191,56,12,2
192,57,22,2
193,57,21,3
194,57,7,3
195,57,18,2
196,58,14,2
